iter	Passed	Remaining
398	257269	65123
399	258388	64597
400	259052	63955
401	260358	63470
402	261206	62870
403	262288	62326
404	263191	61736
405	264174	61163
406	265550	60678
407	266350	60059
408	267160	59441
409	268315	58898
410	269272	58309
411	269851	57638
412	270924	57071
413	272207	56545
414	273490	56016
415	274233	55374
416	275455	54826
417	277365	54411
418	278302	53800
419	279133	53168
420	280336	52604
421	281491	52029
422	282165	51363
423	283666	50845
424	284117	50138
425	284654	49447
426	285484	48806
427	286046	48120
428	287048	47506
429	287680	46831
430	289291	46313
431	289911	45634
432	290716	44983
433	291544	44336
434	292298	43676
435	293730	43116
436	294183	42410
437	294869	41739
438	295558	41068
439	295987	40361
440	296697	39694
441	297151	38992
442	297948	38336
443	298597	37660
444	299507	37017
445	300249	36353
446	301012	35690
447	301676	35016
448	302337	34341
449	302878	33653
450	303489	32973
451	304069	32290
452	305178	31663
453	305629	30966
454	306563	30319
455	307970	29716
456	309553	29126
457	310206	28446
458	310651	27748
459	311237	27064
460	311653	26365
461	312095	25670
462	312545	24976
463	313152	24296
464	313568	23601
465	314129	22919
466	315083	22265
467	315508	21573
468	315855	20877
469	316834	20223
470	317290	19535
471	317918	18859
472	318665	18190
473	319237	17510
474	320121	16848
475	320970	16183
476	321563	15505
477	322336	14835
478	323022	14161
479	323449	13477
480	323976	12797
481	324619	12122
482	325231	11447
483	325674	10766
484	326499	10097
485	327361	9430
486	327851	8751
487	328383	8075
488	328757	7395
489	329287	6720
490	329742	6044
491	330717	5377
492	331092	4701
493	331583	4027
494	332853	3362
495	333295	2687
496	333928	2015
497	334492	1343
498	334917	671
499	335283	0
