iter	RMSE
294	176927.1583
295	176900.0092
296	176865.1317
297	176855.8014
298	176854.8249
299	176851.5821
300	176838.0776
301	176836.6804
302	176832.0631
303	176827.9246
304	176826.4175
305	176815.4931
306	176806.5799
307	176805.9958
308	176801.2371
309	176786.2319
310	176776.9766
311	176774.6109
312	176766.9725
313	176765.6218
314	176763.5773
315	176761.616
316	176750.2845
317	176745.4393
318	176743.9982
319	176734.9566
320	176723.565
321	176719.1435
322	176681.6619
323	176679.1193
324	176672.9393
325	176639.4986
326	176629.9694
327	176626.3326
328	176571.6286
329	176563.2379
330	176561.064
331	176559.926
332	176524.5914
333	176511.0097
334	176501.7368
335	176493.1135
336	176479.1317
337	176474.6015
338	176473.8123
339	176469.5952
340	176467.8561
341	176458.5704
342	176456.8761
343	176455.4488
344	176451.571
345	176425.1534
346	176419.2785
347	176419.2275
348	176418.2218
349	176416.5339
350	176415.0779
351	176398.4651
352	176393.5288
353	176392.1914
354	176391.9385
355	176386.7966
356	176385.3484
357	176382.4606
358	176380.5094
359	176378.8811
360	176375.6582
361	176354.1499
362	176329.5772
363	176324.5662
364	176323.5804
365	176321.2239
366	176318.2712
367	176303.0368
368	176302.0342
369	176297.1951
370	176293.3394
371	176289.9592
372	176286.9943
373	176282.8236
374	176277.2676
375	176275.7267
376	176274.3926
377	176261.3766
378	176246.7005
379	176242.6539
380	176241.5295
381	176236.3999
382	176236.3532
383	176235.3162
384	176222.7307
385	176219.3796
386	176218.6432
387	176218.5987
388	176216.0923
389	176216.052
390	176213.9205
391	176212.9287
392	176212.6724
393	176211.3965
394	176208.6214
395	176204.4022
396	176203.0882
397	176201.0529
398	176188.0223
399	176186.3157
400	176176.8456
401	176173.0357
402	176172.4087
403	176170.8537
404	176169.5092
405	176166.2326
406	176165.6413
407	176163.945
408	176163.3984
409	176152.4259
410	176151.014
411	176149.7616
412	176145.3921
413	176142.3029
414	176116.896
415	176115.4042
416	176110.5159
417	176100.9725
418	176099.2111
419	176097.4119
420	176096.5453
421	176093.744
422	176091.7102
423	176090.8016
424	176086.6077
425	176085.4615
426	176084.8551
427	176079.7881
428	176075.7756
429	176075.329
430	176063.607
431	176059.0429
432	176055.7172
433	176051.6233
434	176051.0841
435	176051.0363
436	176050.9909
437	176047.2887
438	176045.8626
439	176032.3345
440	176028.4607
441	176027.2109
442	176023.9889
443	176021.0645
444	176019.9657
445	176017.2789
446	176015.953
447	176015.2422
448	176015.2001
449	176014.0474
450	176013.4492
451	176012.9396
452	176012.3512
453	176002.104
454	176001.1492
455	175999.9431
456	175985.2278
457	175974.3602
458	175971.9435
459	175969.2149
460	175967.0029
461	175958.5986
462	175958.0176
463	175957.4898
464	175955.953
465	175955.9202
466	175953.356
467	175953.325
468	175952.841
469	175951.4448
470	175950.4613
471	175948.2325
472	175946.8797
473	175946.4519
474	175942.6891
475	175932.4952
476	175931.9193
477	175930.3381
478	175928.4668
479	175917.6672
480	175915.2571
481	175914.0862
482	175914.0052
483	175912.0484
484	175908.9042
485	175907.2356
486	175903.9649
487	175902.8309
488	175901.9795
489	175900.6224
490	175898.2018
491	175897.086
492	175889.2315
493	175889.1706
494	175886.4358
495	175885.8817
496	175885.1216
497	175885.0364
498	175879.3312
499	175878.4342
